Key,EN,FR
axe,Small axe,Petite hache
axe_d,Small axe used for chopping wood.,Petite hache utilisée pour couper du bois.
spear,Spear,Lance
spear_d,A homemade and fairly short spear.,Une lance artisanale et assez courte.
sword,Short sword,Épée courte
sword_d,"Short, light sword, used by beginners.","Épée courte et légère, utilisée par les débutants."
bow,Short bow,Arc court
bow_d,A short bow made for hunting.,Un arc court fait pour la chasse.
dagger,Dagger,Dague
dagger_d,A dagger made for fighting.,Une dague faite pour le combat.
club,Club,Gourdin
club_d,A wooden club.,Un gourdin de bois.
stick,Stick,Bâton
stick_d,A very ordinary stick.,Un batôn tout ce qu'il y a de plus banal.
shotgun,Shotgun,Fusil
shotgun_d,Antique weapon operating with a flintlock.,Arme antique fonctionnant grâce à une platine à silex.
