Key,EN,FR
eric,Eric,Éric
eric_n,Money reaper,Faucheur d'argent
eric_d,"A highly experienced veteran warrior. In combat,\Lhe is uncontrollable when he goes on a rampage.","Un guerrier vétéran très expérimenté. En combat,\Lil est incontrôlable lorsqu'il se déchaîne."
nathalie,Nathalie,Nathalie
nathalie_n,Steel fist,Poing d’acier
nathalie_d,Her father was a great assassin. She mastered all his\Lfighting techniques during her childhood.,Son père était un grand assassin. Elle a maîtrisé\Ltoutes ses techniques de combat durant son enfance.
terence,Terence,Terence
terence_n,Wandering paladin,Paladin errant
terence_d,"Relieved of his status as a paladin, he remains true\Lto his code of honor and wanders, protecting others.","Relevé de son statut de paladin, il reste fidèle à son\Lcode d'honneur et vagabonde, protégeant les autres."
ernest,Ernest,Ernest
ernest_n,Sworder witchman,Sorcier épéeiste
ernest_d,A wandering warrior in search of his master. He is\Lthe only one who has mastered the Magic Sword.,Un guerrier itinérant à la recherche de son maître. Il\Lest le seul à avoir pu maîtriser l'Épée Magique.
