Key,EN,FR
fabricClothing,Fabric clothing,Vêtement de tissu
fabricClothing_d,Clothing that does not protect at all.,Vêtements ne protégeant pas du tout.
bandana,Bandana,Bandana
bandana_d,Headband protecting the head.,Bandeau protégeant la tête.
cottonDress,Cotton dress,Robe de coton
cottonDress_d,A dress made of thick cotton.,Une robe faite d'épais coton.
copperCrown,Copper crown,Couronne en cuivre
copperCrown_d,A copper hair accessory.,Un accessoire pour cheveux en cuivre.
leatherArmor,Leather armor,Armure en cuir
leatherArmor_d,A leather armor.,Une armure en cuir.
leatherHelmet,Leather helmet,Casque de cuir
leatherHelmet_d,A leather helment.,Un casque en cuir.
steelArmor,Steel armor,Armure en acier
steelArmor_d,Armor providing good protection.,Armure assurant une bonne protection.
warriorBelt,Warrior Belt,Ceinture guerrière
warriorBelt_d,A belt engraved with Kratos's name. Increases attack.,Une ceinture sur laquelle est gravée le nom de Kratos. Augmente l'attaque.
