Key,EN,FR
potion,Potion,Potion
potion_d,Restaure 500 HP.,Restaure 500 PV.
potion2,Great potion,Grande potion
potion2_d,"Restaure 2,500 HP.",Restaure 2500 PV.
potion3,Potion max,Potion max
potion3_d,Restaures all HP.,Restaure tous les PV.
ether,Ether,Ether
ether_d,Restaures 200 MP,Restaure 200 PM.
phenixTail,Phenix tail,Queue de phénix
phenixTail_d,Resurrects an ally.,Rescussite un allié.
antidote,Antidote,Antidote
antidote_d,Cures poison,Guérit du poison.
miracleHerb,Miracle herb,Herbe miracle
miracleHerb_d,Cures most status ailments.,Guérit de la plupart des altérations d'état.
elixir,Elixir,Élixir
elixir_d,Restaure all HP and MP.,Restaure tous les PV et les PM.
hpAdd,HP+,PV+
hpAdd_d,Rise HP max of 50.,Augmente les PV max de 50.
mpAdd,HP+,PM+
mpAdd_d,Rise MP max of 50.,Augmente les PM max de 50.
attackAdd,Attack+,Attaque+
attackAdd_d,Adds 3 to the attack.,Augmente l'attaque de 3.
defenseAdd,Defense+,Défense+
defenseAdd_d,Adds 3 to the defense.,Augmente la défense de 3.
magicAttackAdd,Magic attack+,Att. magique+
magicattackAdd_d,Adds 3 to the magic attack.,Augmente l'attaque magique de 3.
magicDefenseAdd,Magic defense+,Déf. magique+
magicDefenseAdd_d,Adds 3 to the magic defense.,Augmente la déf. magique de 3.
agilityAdd,Agility+,Agilité+
agilityAdd_d,Adds 3 to the agility.,Augmente l'agilité de 3.
chanceAdd,Chance+,Chance+
chanceAdd_d,Adds 3 to the chance.,Augmente la chance de 3.
